Candidate,year,Ideology,Lower,Upper
Rick Nolan,2014,-2.028,-2.166,-1.889
Rick Nolan,2015,-2.038,-2.208,-1.876
Rick Nolan,2016,-2.022,-2.174,-1.871
Rick Nolan,2017,-1.992,-2.168,-1.815
Rick Nolan,2018,-1.903,-2.097,-1.712
Chip Cravaack,2010,1.903,1.701,2.11
Chip Cravaack,2011,1.875,1.691,2.063
Chip Cravaack,2012,1.887,1.726,2.051
David Obey,2010,-2.605,-2.809,-2.404
David Obey,2011,-2.543,-2.795,-2.297
David Obey,2012,-2.487,-2.732,-2.24
Jean Schmidt,2010,1.846,1.688,2.009
Jean Schmidt,2011,1.82,1.648,2.006
Jean Schmidt,2012,1.695,1.54,1.852
William R. Smith,2012,-0.501,-0.789,-0.223
William R. Smith,2013,-0.433,-0.756,-0.105
William R. Smith,2014,-0.363,-0.711,-0.019
William R. Smith,2015,-0.299,-0.633,0.041
William R. Smith,2016,-0.236,-0.556,0.093
Brad Wenstrup,2012,1.354,1.173,1.536
Brad Wenstrup,2013,1.336,1.153,1.519
Brad Wenstrup,2014,1.358,1.199,1.517
Brad Wenstrup,2015,1.367,1.187,1.544
Brad Wenstrup,2016,1.392,1.239,1.547
Brad Wenstrup,2017,1.48,1.309,1.658
Brad Wenstrup,2018,1.504,1.348,1.667
Brad Wenstrup,2019,1.588,1.392,1.781
Brad Wenstrup,2020,1.716,1.558,1.879
Brad Wenstrup,2021,1.725,1.547,1.908
Brad Wenstrup,2022,1.64,1.472,1.808
Brad Wenstrup,2023,1.659,1.474,1.838
Brad Wenstrup,2024,1.679,1.488,1.875
Jim Matheson,2010,-0.592,-0.737,-0.441
Jim Matheson,2011,-0.588,-0.731,-0.437
Jim Matheson,2012,-0.636,-0.736,-0.54
Jim Matheson,2013,-0.573,-0.734,-0.405
Jim Matheson,2014,-0.639,-0.798,-0.477
Mia Love,2012,1.878,1.713,2.038
Mia Love,2013,1.875,1.688,2.062
Mia Love,2014,1.872,1.719,2.029
Mia Love,2015,1.842,1.663,2.024
Mia Love,2016,1.797,1.645,1.946
Mia Love,2017,1.83,1.668,2.001
Mia Love,2018,1.78,1.613,1.942
Robert Scott,2010,-2.367,-2.563,-2.176
Robert Scott,2011,-2.426,-2.606,-2.254
Robert Scott,2012,-2.458,-2.604,-2.316
Robert Scott,2013,-2.376,-2.553,-2.204
Robert Scott,2014,-2.352,-2.512,-2.199
Robert Scott,2015,-2.252,-2.432,-2.071
Robert Scott,2016,-2.189,-2.34,-2.041
Robert Scott,2017,-2.148,-2.307,-1.98
Robert Scott,2018,-2.131,-2.268,-1.992
Robert Scott,2019,-2.19,-2.352,-2.026
Robert Scott,2020,-2.244,-2.393,-2.094
Robert Scott,2021,-2.193,-2.355,-2.032
Robert Scott,2022,-2.197,-2.351,-2.042
