Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Dwight Evans,U.S. House,CD-3,2020,-2.359,-2.507,-2.214,Democratic,Pennsylvania,3
Dwight Evans,U.S. House,CD-3,2022,-2.393,-2.548,-2.246,Democratic,Pennsylvania,3
Dwight Evans,U.S. House,CD-3,2024,-2.298,-2.457,-2.141,Democratic,Pennsylvania,3
Diana K. Kastenbaum,U.S. House,CD-27,2016,-0.667,-1.052,-0.285,Democratic,New York,27
James (Jim) Crary,U.S. House,CD-2,2016,-1.368,-1.713,-1.029,Democratic,Oregon,2
Rick Bryson,U.S. House,CD-11,2016,-1.048,-1.379,-0.707,Democratic,North Carolina,11
Jan Schneider,U.S. House,CD-16,2016,-1.615,-1.854,-1.369,Democratic,Florida,16
Jan Schneider,U.S. House,CD-16,2022,-1.797,-2.054,-1.54,Democratic,Florida,16
Stephen P. Tryon,U.S. House,CD-3,2016,-1.201,-1.566,-0.835,Democratic,Utah,3
Bryan Caforio,U.S. House,CD-25,2016,-1.779,-2.102,-1.456,Democratic,California,25
Richard Gregory Priem,U.S. House,CD-1,2016,0.84,0.456,1.207,Republican,New Mexico,1
Andy Millard,U.S. House,CD-10,2016,-1.052,-1.412,-0.692,Democratic,North Carolina,10
Keith Mundy,U.S. House,CD-16,2016,-0.842,-1.22,-0.47,Democratic,Ohio,16
Shaun D. Brown,U.S. House,CD-2,2016,-0.894,-1.352,-0.43,Democratic,Virginia,2
Kenneth W. Wright,U.S. House,CD-33,2016,-0.052,-0.382,0.273,Republican,California,33
Kenneth W. Wright,U.S. House,CD-33,2018,-0.119,-0.466,0.221,Republican,California,33
Mark Gibson,U.S. House,CD-22,2016,-0.389,-0.823,0.047,Democratic,Texas,22
Rita Ramirez,U.S. House,CD-8,2016,-1.756,-2.05,-1.459,Democratic,California,8
Pramila Jayapal,U.S. House,CD-7,2016,-3.5,-3.706,-3.299,Democratic,Washington,7
Pramila Jayapal,U.S. House,CD-7,2018,-3.588,-3.765,-3.414,Democratic,Washington,7
Pramila Jayapal,U.S. House,CD-7,2020,-3.655,-3.816,-3.498,Democratic,Washington,7
Pramila Jayapal,U.S. House,CD-7,2022,-3.607,-3.775,-3.44,Democratic,Washington,7
Pramila Jayapal,U.S. House,CD-7,2024,-3.581,-3.755,-3.41,Democratic,Washington,7
"Michael L. ""Mike"" Wade",U.S. House,CD-4,2016,0.119,-0.169,0.405,Republican,Virginia,4
Daria Novak,U.S. House,CD-2,2016,0.725,0.362,1.087,Republican,Connecticut,2
Leonard Schwartz,U.S. House,CD-4,2016,-0.533,-0.944,-0.118,Other,Michigan,4
Gordon Christensen,U.S. House,CD-4,2016,-0.385,-0.786,0.019,Democratic,Missouri,4
Steve Santarsiero,U.S. House,CD-8,2016,-1.53,-1.754,-1.31,Democratic,Pennsylvania,8
Brian Fitzpatrick,U.S. House,CD-8,2016,1.132,0.959,1.32,Republican,Pennsylvania,8
Brian Fitzpatrick,U.S. House,CD-1,2018,0.86,0.712,1.003,Republican,Pennsylvania,1
