Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Corry Westbrook,U.S. House,CD-8,2016,-1.322,-1.647,-0.984,Democratic,Florida,8
Kerry Hicks,U.S. House,CD-4,2016,0.206,-0.191,0.613,Other,Arkansas,4
Clay Cope,U.S. House,CD-5,2016,0.357,0.028,0.685,Republican,Connecticut,5
Ruben Kihuen,U.S. House,CD-4,2016,-2.086,-2.28,-1.9,Democratic,Nevada,4
Lynn C. Coleman,U.S. House,CD-2,2016,-1.557,-1.823,-1.283,Democratic,Indiana,2
Amie Hoeber,U.S. House,CD-6,2016,1.271,1.044,1.506,Republican,Maryland,6
Amie Hoeber,U.S. House,CD-6,2018,0.991,0.771,1.209,Republican,Maryland,6
Jan McDowell,U.S. House,CD-24,2016,-1.125,-1.406,-0.824,Democratic,Texas,24
Jan McDowell,U.S. House,CD-24,2018,-1.344,-1.567,-1.126,Democratic,Texas,24
Jan McDowell,U.S. House,CD-24,2022,-1.119,-1.422,-0.806,Democratic,Texas,24
"H.D. ""Chip"" Evans",U.S. House,CD-2,2016,-1.659,-1.975,-1.336,Democratic,Nevada,2
Anil Kumar,U.S. House,CD-11,2016,-1.664,-1.962,-1.382,Democratic,Michigan,11
Ryan Greene,U.S. House,CD-1,2016,-1.203,-1.509,-0.906,Democratic,Wyoming,1
Liz Cheney,U.S. House,CD-1,2016,2.098,1.89,2.31,Republican,Wyoming,1
Liz Cheney,U.S. House,CD-1,2018,2.02,1.853,2.193,Republican,Wyoming,1
Liz Cheney,U.S. House,CD-1,2020,1.925,1.722,2.132,Republican,Wyoming,1
Andrea Leigh McGee,U.S. House,CD-22,2016,-0.091,-0.544,0.371,Republican,Florida,22
A. Donald McEachin,U.S. House,CD-4,2016,-1.952,-2.144,-1.745,Democratic,Virginia,4
A. Donald McEachin,U.S. House,CD-4,2018,-2.125,-2.28,-1.973,Democratic,Virginia,4
A. Donald McEachin,U.S. House,CD-4,2020,-2.187,-2.344,-2.038,Democratic,Virginia,4
A. Donald McEachin,U.S. House,CD-4,2022,-2.143,-2.322,-1.963,Democratic,Virginia,4
Rodney Stooksbury,U.S. House,CD-6,2016,-1.089,-1.56,-0.631,Democratic,Georgia,6
Shelly Schratz,U.S. House,CD-26,2016,0.216,-0.066,0.491,Republican,New York,26
Mark Hunt,U.S. House,CD-2,2016,-1.009,-1.312,-0.707,Democratic,West Virginia,2
Jim Moeller,U.S. House,CD-3,2016,-1.796,-2.127,-1.468,Democratic,Washington,3
Wendy Reed,U.S. House,CD-23,2016,-1.465,-1.898,-1.051,Democratic,California,23
Scott R. Jones,U.S. House,CD-7,2016,1.356,1.141,1.579,Republican,California,7
Salud Carbajal,U.S. House,CD-24,2016,-2.182,-2.372,-1.988,Democratic,California,24
Salud Carbajal,U.S. House,CD-24,2018,-2.268,-2.434,-2.1,Democratic,California,24
Salud Carbajal,U.S. House,CD-24,2020,-2.228,-2.392,-2.068,Democratic,California,24
Salud Carbajal,U.S. House,CD-24,2022,-2.263,-2.433,-2.09,Democratic,California,24
Salud Carbajal,U.S. House,CD-24,2024,-2.187,-2.379,-1.995,Democratic,California,24
Justin Donald Fareed,U.S. House,CD-24,2016,1.684,1.47,1.894,Republican,California,24
Justin Donald Fareed,U.S. House,CD-24,2018,1.762,1.537,1.988,Republican,California,24
Robert Matthew Tager,U.S. House,CD-12,2016,-0.948,-1.341,-0.554,Democratic,Florida,12
Ruby Fay Woolridge,U.S. House,CD-6,2016,-1.514,-1.858,-1.163,Democratic,Texas,6
Charles Lingerfelt,U.S. House,CD-30,2016,0.305,-0.158,0.756,Republican,Texas,30
Doug Shepherd,U.S. House,CD-41,2016,0.169,-0.266,0.601,Republican,California,41
Todd A. Bloom,U.S. House,CD-6,2016,0.802,0.438,1.169,Republican,Washington,6
Joshua Harris-Till,U.S. House,CD-2,2016,-1.033,-1.417,-0.625,Democratic,Oklahoma,2
Joshua Harris-Till,U.S. House,CD-5,2022,-1.649,-1.952,-1.359,Democratic,Oklahoma,5
