,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,bonica.rid,year_bonica,candidate_bonica,state_bonica,id_lt_bonica,score,state,candidate,year
83,pennsylvania,4.0,madeleine dean,Rep,House,3226.0,D000631,0.0,,2018.0,173.0,27.0,cand144769,2018.0,madeleine dean,pennsylvania,119.0,0.9999956,,,
84,pennsylvania,12.0,marc friedenberg,Rep,,3228.0,,,,2018.0,186.0,28.0,cand142728,2018.0,marc friedenberg,pennsylvania,70.0,0.99999833,,,
85,pennsylvania,7.0,martin nothstein,Rep,,3232.0,,,,2018.0,158.0,29.0,cand142742,2018.0,marty nothstein,pennsylvania,78.0,0.95416486,,,
86,pennsylvania,5.0,mary gay scanlon,Rep,House,3234.0,S001205,0.0,,2018.0,150.0,30.0,cand144779,2018.0,mary gay scanlon,pennsylvania,113.0,0.9999865,,,
87,pennsylvania,7.0,matt cartwright,Rep,,3235.0,C001090,,,2018.0,34.0,31.0,cand44515,2018.0,matt cartwright,pennsylvania,40.0,0.9999957,,,
88,pennsylvania,17.0,michael doyle,Rep,,1013.0,D000482,,,2018.0,39.0,32.0,cand1398,2018.0,mike doyle,pennsylvania,37.0,0.9620372,,,
89,pennsylvania,18.0,mike doyle,Rep,,1013.0,D000482,2.0,,2018.0,198.0,33.0,cand1398,2018.0,mike doyle,pennsylvania,37.0,0.9999978,,,
90,pennsylvania,15.0,mike kelly,Rep,,3182.0,K000376,,,2018.0,26.0,34.0,cand1398,2018.0,mike doyle,pennsylvania,37.0,0.904852,,,
91,pennsylvania,0.0,pat toomey,Sen,,3251.0,T000461,11.0,,2018.0,3127.0,35.0,cand1539,2018.0,patrick joseph toomey,pennsylvania,50.0,0.9164631,,,
92,pennsylvania,5.0,pearl kim,Rep,,3254.0,,,,2018.0,150.0,36.0,cand145251,2018.0,pearl kim,pennsylvania,127.0,0.9999986,,,
93,pennsylvania,16.0,ronald dinicola,Rep,,3265.0,,,,2018.0,191.0,37.0,cand48463,2018.0,ronald a dinicola,pennsylvania,130.0,0.9876367,,,
94,pennsylvania,4.0,ryan costello,Rep,,3266.0,C001106,,,2018.0,44.0,38.0,cand38938,2018.0,ryan a costello,pennsylvania,46.0,0.9609065,,,
95,pennsylvania,10.0,scott perry,Rep,House,3271.0,P000605,0.0,,2018.0,187.0,39.0,cand44403,2018.0,scott perry,pennsylvania,43.0,0.99999774,,,
